2017-07-20 10:37:12.906 [http-nio-8080-exec-3] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:13.804 [pushExecuteTask-Thread] [WARN ] [com.alibaba.configcenter.registry.service.push.PushFlowControl] - current push speed: 0 MB/s, target: 80 MB/s, pushCount: 3
2017-07-20 10:37:15.036 [pushExecuteTask-Thread] [WARN ] [com.alibaba.configcenter.registry.service.push.PushFlowControl] - current push speed: 0 MB/s, target: 80 MB/s, pushCount: 1
2017-07-20 10:37:15.902 [http-nio-8080-exec-9] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:15.933 [http-nio-8080-exec-11] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:19.190 [http-nio-8080-exec-14] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:19.223 [http-nio-8080-exec-1] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:21.816 [http-nio-8080-exec-6] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:21.847 [http-nio-8080-exec-12] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:24.511 [http-nio-8080-exec-8] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:24.546 [http-nio-8080-exec-11] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:25.962 [pushExecuteTask-Thread] [WARN ] [com.alibaba.configcenter.registry.service.push.PushFlowControl] - current push speed: 0 MB/s, target: 80 MB/s, pushCount: 4
2017-07-20 10:37:28.414 [http-nio-8080-exec-13] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:28.447 [http-nio-8080-exec-15] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:31.290 [http-nio-8080-exec-14] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:31.334 [http-nio-8080-exec-1] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:35.408 [http-nio-8080-exec-3] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:35.451 [http-nio-8080-exec-9] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:38.125 [http-nio-8080-exec-3] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:38.169 [http-nio-8080-exec-9] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:42.275 [http-nio-8080-exec-15] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:42.319 [http-nio-8080-exec-3] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:44.514 [http-nio-8080-exec-12] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
2017-07-20 10:37:44.556 [http-nio-8080-exec-14] [WARN ] [org.springframework.web.servlet.PageNotFound] - Request method 'POST' not supported
